bidx,month,mean_mm,sd_mm,p10_mm,p20_mm,p50_mm,n_years
7,5,311.1864,61.510994,226.0588,272.16473,326.80212,21
7,6,237.79234,55.89356,174.83763,197.4444,239.18027,21
7,7,187.99486,50.43148,133.47182,159.13002,185.694,21
7,8,89.39066,25.815735,60.953064,72.97438,86.43913,21
7,9,52.39456,20.212074,28.887676,38.928844,58.19296,21
7,10,50.98101,21.341183,27.234642,35.973457,45.64411,21
7,11,77.38766,52.757256,19.34063,36.23073,62.12517,21
7,12,166.137,74.95043,80.03352,107.1548,160.7924,21
8,1,253.12521,85.03553,130.92552,189.15134,255.1154,21
8,2,295.32324,68.78203,214.94873,223.45021,291.17142,21
8,3,346.98895,75.58903,257.17206,269.5688,354.47247,21
8,4,342.1822,46.392113,288.70966,299.11307,330.04138,21
8,5,298.57526,59.589077,229.89764,248.82426,309.3834,21
8,6,243.69363,57.2553,177.50076,195.42722,239.73906,21
8,7,203.55362,52.435608,145.43217,171.77469,196.31697,21
8,8,96.6213,30.95967,62.507023,72.69504,90.2213,21
8,9,37.1614,16.543856,19.18958,22.935362,35.23743,21
8,10,38.566902,17.51326,22.355473,28.562988,34.524418,21
8,11,68.477135,52.937683,14.778704,25.130314,45.060158,21
8,12,134.91522,62.747013,61.936966,87.17648,121.69632,21
9,1,235.2489,70.12549,140.03493,174.91388,238.89377,21
9,2,285.9102,72.729836,210.75568,213.82962,276.86148,21
9,3,321.381,63.970528,243.79929,255.01195,323.98862,21
9,4,341.9816,48.146427,296.4831,312.34595,340.23724,21
9,5,307.84113,64.64279,213.74287,261.32578,314.18802,21
9,6,244.92325,55.29327,175.24359,199.45198,246.16241,21
9,7,209.7255,50.05712,162.78386,180.18906,206.54265,21
9,8,98.778824,31.418264,65.02298,76.534424,91.20581,21
9,9,42.14467,16.470152,24.482176,29.42034,41.496494,21
9,10,43.99799,16.167442,26.980978,33.128403,40.62499,21
9,11,60.902485,44.50327,12.246913,27.535295,50.426476,21
9,12,134.68321,62.49496,70.51759,84.68495,122.97633,21
10,1,253.40504,87.94882,129.74237,184.99707,261.10028,21
10,2,327.3776,82.40708,226.37834,262.0189,312.27695,21
10,3,369.34262,81.881615,245.24825,309.88055,384.472,21
10,4,350.64526,53.921642,289.56122,307.09833,351.44177,21
10,5,298.27682,62.861713,225.655,251.14912,299.55167,21
10,6,248.53772,63.66033,176.05359,203.82439,255.71701,21
10,7,199.80286,48.06756,137.21237,169.6488,208.61017,21
10,8,98.861595,32.455948,69.1496,76.962364,89.478386,21
10,9,43.71821,21.259329,19.927666,29.08189,37.03697,21
10,10,46.196114,35.762203,10.382669,18.506842,37.58419,21
10,11,54.56525,40.705685,18.100536,19.065144,37.336178,21
10,12,139.36163,68.22951,68.024925,80.67394,129.97087,21
11,1,230.41199,63.74629,124.264496,184.57166,247.14209,21
11,2,291.04956,73.56309,211.75078,225.33536,285.83597,21
11,3,318.66663,58.592133,249.1478,257.24036,312.00052,21
11,4,358.6357,56.01839,298.4931,323.01663,348.13895,21
11,5,323.22174,57.76075,245.0461,258.02182,328.38757,21
11,6,261.60016,54.235886,195.99942,202.36708,278.42438,21
11,7,207.25223,51.673107,154.12415,156.33008,212.00882,21
11,8,120.34346,37.414646,81.84945,85.741585,125.05614,21
11,9,56.926838,19.153448,37.339725,41.21965,55.130672,21
11,10,45.496735,20.03301,26.347023,29.675488,40.88355,21
11,11,68.71734,45.786045,18.264381,34.23472,61.534134,21
11,12,143.66971,62.210957,72.122444,98.572556,131.21834,21
12,1,270.05856,86.23299,140.13348,201.09763,280.89362,21
12,2,346.78836,82.01887,265.26743,275.05362,334.99692,21
12,3,388.03354,77.94975,279.51022,322.33084,382.9856,21
12,4,354.68945,47.900093,292.42383,322.47113,346.3661,21
12,5,303.31528,67.81069,228.39839,252.3266,316.87296,21
12,6,249.76634,60.328568,189.18706,212.4485,255.4657,21
12,7,192.04301,44.427586,123.60217,148.88945,199.13516,21
12,8,110.62391,34.82602,76.35729,88.013824,105.73431,21
12,9,53.980526,23.49139,26.871103,37.73702,52.172497,21
12,10,49.733673,34.796135,17.074131,19.686287,43.43036,21
12,11,68.93699,52.08241,23.831858,26.71557,53.30272,21
12,12,152.86554,74.624146,64.764404,91.50812,144.3439,21
13,1,270.4608,62.24128,164.73596,211.524,289.03104,21
13,2,305.11053,57.58418,246.33295,263.46686,296.44983,21
13,3,353.05334,54.087055,301.91913,305.58987,343.59497,21
13,4,362.36435,55.618015,281.81934,312.36285,352.95724,21
13,5,315.3561,57.012142,249.50052,263.71725,315.7954,21
13,6,245.01595,65.98691,175.75589,201.85222,234.9506,21
13,7,180.52028,48.014065,127.468605,142.26378,167.26,21
13,8,128.67455,29.28926,92.76647,108.00703,123.45566,21
13,9,105.23353,31.541122,70.46701,78.76783,105.70597,21
13,10,82.0338,31.686502,39.49707,56.583042,85.7324,21
13,11,86.803406,52.106396,33.08001,48.457012,76.4087,21
13,12,181.48888,69.60865,118.280754,134.09213,165.7555,21
14,1,265.22406,76.71932,165.51653,192.84023,282.20264,21
14,2,351.1208,82.50332,271.1407,298.4355,336.98392,21
14,3,397.79785,77.12359,299.9681,312.7135,390.3923,21
14,4,351.46155,43.57994,297.75162,304.97186,348.4342,21
14,5,302.62463,65.434715,199.4036,250.26471,312.64096,21
14,6,252.90648,66.57875,179.48915,207.747,239.48639,21
14,7,206.1811,48.626987,155.84483,161.69417,204.88284,21
14,8,144.44035,41.156162,87.62391,110.43619,148.59871,21
14,9,93.19301,41.82228,48.708363,56.38072,95.635445,21
14,10,97.60019,44.84331,41.40706,65.45082,97.64243,21
14,11,116.218,84.89347,39.12836,49.5205,86.857834,21
14,12,188.9999,76.31938,112.717,119.87311,182.04965,21
15,1,300.51437,55.48659,239.00626,243.79913,298.45236,21
15,2,341.22394,56.60706,274.06427,293.3272,332.79446,21
15,3,405.97604,58.649776,335.27277,345.0422,401.88263,21
15,4,380.36032,60.610813,306.1157,338.99243,379.29306,21
15,5,308.28754,71.43887,223.59926,256.91397,303.14127,21
15,6,219.18008,63.055374,151.82094,174.00739,217.7917,21
15,7,160.19675,46.988068,112.540634,119.67803,143.85211,21
15,8,152.81299,41.32559,108.3136,112.70959,146.54895,21
15,9,142.30804,50.578667,86.52563,98.51824,140.94446,21
15,10,155.36972,54.321434,87.89282,109.28593,160.21016,21
15,11,128.2185,63.586063,75.24432,84.24983,112.042244,21
15,12,229.6393,78.158394,160.31607,171.44455,213.78075,21
16,1,303.5059,71.7418,201.04758,237.66496,310.39078,21
16,2,357.68066,69.02785,284.06723,288.9738,351.64285,21
16,3,411.5624,64.65707,330.15726,354.46933,399.22632,21
16,4,366.52896,47.555794,315.09213,340.64795,367.43362,21
16,5,296.47263,74.99964,202.44554,235.88896,295.37906,21
16,6,242.57083,58.42876,186.96632,212.14568,232.50856,21
16,7,205.01344,52.269222,141.76027,162.61871,195.63065,21
16,8,164.98953,41.4722,121.208145,124.62511,162.5284,21
16,9,146.33675,58.802856,74.36892,101.25106,155.77563,21
16,10,174.69817,58.495667,98.00084,138.98636,176.35641,21
16,11,137.69249,78.417465,60.0782,81.04145,111.74136,21
16,12,230.1337,81.05135,134.62617,171.50722,222.33841,21
17,1,337.08087,69.05589,255.61974,293.09732,331.48145,21
17,2,397.76056,81.318535,294.85318,332.73154,384.48007,21
17,3,446.6509,62.709564,369.18314,394.32303,456.00366,21
17,4,379.92343,54.475838,303.08685,332.13092,384.30634,21
17,5,297.3758,65.14604,231.59473,247.55956,296.04654,21
17,6,221.7021,56.48545,168.23524,198.55498,214.20314,21
17,7,183.45296,54.402187,127.01217,142.07462,174.62027,21
17,8,159.6825,41.51629,110.604034,130.81033,149.1466,21
17,9,120.29469,49.5711,51.239998,77.989006,130.10304,21
17,10,145.74976,48.142956,74.3117,93.6187,150.87744,21
17,11,140.23405,75.86807,79.780754,88.51485,119.86342,21
17,12,229.70872,76.013115,144.87282,193.78418,214.52779,21
18,1,323.8619,90.47718,202.1488,252.24463,334.45224,21
18,2,419.33533,90.96262,324.66534,357.7961,407.17975,21
18,3,422.91467,72.71533,333.32544,349.5734,426.1135,21
18,4,379.89023,45.10049,328.96527,336.7978,369.107,21
18,5,302.34775,75.79154,205.98814,255.57803,313.99478,21
18,6,224.38063,52.869675,174.13715,190.54948,216.73637,21
18,7,181.58789,49.292618,125.70125,133.29053,191.46251,21
18,8,112.22217,31.494186,72.25068,92.84063,114.5199,21
18,9,59.031693,28.65837,28.336035,32.956787,56.516922,21
18,10,59.12994,30.39815,20.132862,35.860786,59.770424,21
18,11,94.68472,60.852226,30.935389,47.511414,78.981255,21
18,12,183.49226,86.81879,70.825645,130.25671,168.93439,21
19,1,326.22174,96.2837,165.83794,246.60597,347.4625,21
19,2,431.42526,72.975624,328.02124,385.0641,418.82678,21
